"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.17469672879651,-0.257215007215007,0.0216231228077491,0.058238010815987,173,55
"LumB",0.0551160846356679,0.314800514800515,0.644934587834578,0.061930965662352,72,36
"Her2",0.401444788441692,-0.285714285714286,0.0998132281191095,0.500793650793651,18,8
"Basal",-0.00916305916305916,0.127272727272727,0.947090371854072,0.732886836413125,55,10
"Normal_and_All",-0.130909090909091,-0.0397592929129246,0.259061492791209,0.403682795953098,76,443
