"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.035912780268019,0.21038961038961,0.638691446749691,0.12297767206622,173,55
"LumB",-0.0207087272493408,0.0185328185328185,0.862673956499407,0.914702782533111,72,36
"Her2",0.343653250773994,0.0714285714285714,0.162772538741214,0.881994047619048,18,8
"Basal",-0.0119047619047619,-0.224242424242424,0.93123069366665,0.536688086753551,55,10
"Normal_and_All",0.198824333561176,0.0660834731343296,0.0851388607688765,0.164928959027331,76,443
