"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0438903078370749,-0.094011544011544,0.566034744051394,0.493720066637116,173,55
"LumB",0.0336034471670204,0.258687258687259,0.778866802885343,0.127506339655103,72,36
"Her2",0.0319917440660475,0.738095238095238,0.901814419497478,0.0458333333333333,18,8
"Basal",-0.152886002886003,-0.236363636363636,0.264316796312681,0.513898326223936,55,10
"Normal_and_All",0.164292549555707,-0.0181598664535857,0.155860722149584,0.702966378185933,76,443
