"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0369441573070166,-0.149062049062049,0.629080937251426,0.276559608394458,173,55
"LumB",-0.035114798379317,0.0712998712998713,0.769188179957461,0.678459618323645,72,36
"Her2",-0.0794633642930856,0.333333333333333,0.754411857946527,0.427876984126984,18,8
"Basal",-0.0265512265512266,0.636363636363636,0.847107488125929,0.0544450679375418,55,10
"Normal_and_All",0.103376623376623,-0.00657945771476511,0.373397177921984,0.890124690748043,76,443
