"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.103214188039735,0.0564213564213564,0.176416815946474,0.68165411355682,173,55
"LumB",-0.0169785838317577,-0.00746460746460747,0.887248199079266,0.965947525109518,72,36
"Her2",-0.13312693498452,-0.0714285714285714,0.597538336684554,0.881994047619048,18,8
"Basal",-0.134415584415584,-0.103030303030303,0.326904785656272,0.785018103976204,55,10
"Normal_and_All",0.0192754613807245,-0.0423597708818795,0.868508005422146,0.373618472268838,76,443
