"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.060230101376251,-0.0167388167388167,0.430804006144555,0.90333636064707,173,55
"LumB",-0.0455977876390765,0.0566280566280566,0.703100301436645,0.742163490683229,72,36
"Her2",0.207430340557276,0.0238095238095238,0.407250951572984,0.976785714285714,18,8
"Basal",-0.194805194805195,0.139393939393939,0.153761202960019,0.707203785571239,55,10
"Normal_and_All",0.00497607655502392,-0.0132360739849785,0.965981487165276,0.781072735044141,76,443
