"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0942191896389485,-0.304256854256854,0.217338222379488,0.0243009943386015,173,55
"LumB",-0.0169142710142131,0.0319176319176319,0.887672898723799,0.853206428705613,72,36
"Her2",0.430340557275542,0.523809523809524,0.0761288973075674,0.196626984126984,18,8
"Basal",0.162554112554113,0.333333333333333,0.235013221451073,0.348846243872153,55,10
"Normal_and_All",0.251811346548189,0.023216857501813,0.0284679784642051,0.625886163572746,76,443
