"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.062028637516166,-0.139321789321789,0.417149824930576,0.309429369985225,173,55
"LumB",-0.0417711749951765,-0.394851994851995,0.726999223364073,0.0177902582436488,72,36
"Her2",0.00928792569659443,0.285714285714286,0.973759651081858,0.500793650793651,18,8
"Basal",-0.148845598845599,-0.309090909090909,0.277263726381553,0.387054968154447,55,10
"Normal_and_All",-0.0734654818865345,-0.0730324361316261,0.527445167083848,0.124785645705644,76,443
