"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0698879623234491,0.0975468975468975,0.360526175160084,0.47755418946762,173,55
"LumB",0.0694899993568718,0.436550836550837,0.56109374680756,0.0082744419846165,72,36
"Her2",0.26109391124871,0.428571428571429,0.294102709245796,0.299206349206349,18,8
"Basal",-0.173881673881674,-0.0181818181818182,0.203641362228296,0.972841176143636,55,10
"Normal_and_All",0.162105263157895,0.0860576008630716,0.161500193110683,0.0703779420443631,76,443
