"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0167824744705212,0.155555555555556,0.826364379022219,0.255989946601809,173,55
"LumB",-0.0251141552511416,0.207207207207207,0.833820210818399,0.224413991939367,72,36
"Her2",0.170278637770898,0.0238095238095238,0.497889796316028,0.976785714285714,18,8
"Basal",0.113708513708514,0.0545454545454545,0.407391962342987,0.891638843953118,55,10
"Normal_and_All",0.0127409432672591,0.0624706859602624,0.912896455573214,0.189301547144028,76,443
