"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.000333748974417214,0.00476190476190476,0.996531276296022,0.972589702112267,173,55
"LumB",-0.0705511608463567,0.336164736164736,0.555115656950238,0.0455809299644492,72,36
"Her2",0.306501547987616,0.523809523809524,0.215529076377836,0.196626984126984,18,8
"Basal",-0.0294372294372294,-0.0303030303030303,0.830700711583236,0.945709808351989,55,10
"Normal_and_All",0.228735475051265,0.0112398896756884,0.0470757133548298,0.813429152169012,76,443
