"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0173294519563716,-0.05995670995671,0.820798817356038,0.662865387690736,173,55
"LumB",-0.214997749051386,0.079021879021879,0.0698463182897589,0.645771075867722,72,36
"Her2",-0.292053663570691,-0.0238095238095238,0.23882115173451,0.976785714285714,18,8
"Basal",0.255483405483405,-0.224242424242424,0.0599967968711073,0.536688086753551,55,10
"Normal_and_All",0.165987696514012,0.00826093449914988,0.151592323011002,0.862295395089988,76,443
