"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0587861735216543,-0.0324675324675325,0.441950057734842,0.813551121569532,173,55
"LumB",0.0577207537462216,-0.151608751608752,0.629365283268996,0.375985213749743,72,36
"Her2",0.176470588235294,-0.30952380952381,0.482125637546876,0.461805555555556,18,8
"Basal",-0.141991341991342,-0.284848484848485,0.300179343728365,0.427359698875701,55,10
"Normal_and_All",-0.0938892686261107,-0.0417846014712301,0.419010277172779,0.380146150150763,76,443
