"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0854049719326384,-0.0514430014430014,0.263613359240958,0.70844036642499,173,55
"LumB",0.17550967907904,-0.20978120978121,0.140086250414526,0.21861099821472,72,36
"Her2",0.0505675954592363,-0.119047619047619,0.843479961758193,0.793005952380952,18,8
"Basal",0.0963203463203463,-0.0666666666666667,0.483130433988442,0.864753528804526,55,10
"Normal_and_All",-0.113875598086124,-0.00889587073360809,0.326609404269656,0.85182914924671,76,443
