"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0624527768378212,0.0536796536796537,0.413967159702579,0.696359919507463,173,55
"LumB",0.0655026046691106,-0.21003861003861,0.583826694045049,0.218036482861605,72,36
"Her2",0.100103199174407,0.571428571428572,0.692539609178948,0.151140873015873,18,8
"Basal",-0.0575757575757576,0.248484848484848,0.67549705207403,0.491555497342584,55,10
"Normal_and_All",0.00754613807245386,-0.017618514298902,0.948383174457966,0.711419317285193,76,443
