"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0240276084568282,0.0706349206349206,0.753450194782117,0.607402037993256,173,55
"LumB",-0.0226381117756769,-0.00900900900900901,0.850012744164869,0.958784217558289,72,36
"Her2",-0.0835913312693498,0.238095238095238,0.7419053263388,0.582142857142857,18,8
"Basal",-0.0411255411255411,0.0545454545454545,0.765057947454973,0.891638843953118,55,10
"Normal_and_All",0.13326042378674,-0.000588420253803337,0.250546872710086,0.990143646358542,76,443
