"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0629070462752224,0.018037518037518,0.410574284520951,0.895860804126259,173,55
"LumB",-0.00392308187021673,0.00128700128700129,0.973948596217793,0.994621753005535,72,36
"Her2",-0.128998968008256,0.333333333333333,0.609108913813732,0.427876984126984,18,8
"Basal",0.0992063492063492,-0.103030303030303,0.470065043463156,0.785018103976204,55,10
"Normal_and_All",-0.0212987012987013,0.015478917218394,0.854840097953915,0.745166587940926,76,443
