"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0331222680096973,0.0157287157287157,0.664993978417047,0.909156520820742,173,55
"LumB",0.0397774776512959,0.17992277992278,0.739556825050532,0.29249192614427,72,36
"Her2",0.232198142414861,-0.238095238095238,0.352330434879144,0.582142857142857,18,8
"Basal",0.124675324675325,0.248484848484848,0.363417672964676,0.491555497342584,55,10
"Normal_and_All",0.10406015037594,0.0143692971338702,0.370232275981448,0.762867160133767,76,443
