"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.057326021758579,0.105122655122655,0.453386242481872,0.443888732012523,173,55
"LumB",-0.0191652196282719,0.0795366795366795,0.872828137059765,0.643614339064854,72,36
"Her2",-0.244582043343653,0.238095238095238,0.326595445060737,0.582142857142857,18,8
"Basal",0.17979797979798,-0.0303030303030303,0.188497144479657,0.945709808351989,55,10
"Normal_and_All",-0.0223376623376623,0.0284132584623887,0.847837811886989,0.550725113911105,76,443
