"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.00996843290950304,-0.105916305916306,0.896338148426051,0.440440362360269,173,55
"LumB",-0.090488134285163,-0.135649935649936,0.448829762327553,0.428731757112363,72,36
"Her2",-0.0588235294117647,-0.428571428571429,0.817790211810118,0.299206349206349,18,8
"Basal",0.0712121212121212,-0.115151515151515,0.604462495480546,0.758833070490857,55,10
"Normal_and_All",-0.0218455228981545,-0.041695020250325,0.851153244854262,0.38116907549852,76,443
