"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0220088907018463,0.118326118326118,0.773577994494486,0.388510567922363,173,55
"LumB",0.00514502540356293,-0.0453024453024453,0.965805157030499,0.792561531419954,72,36
"Her2",0.128998968008256,0.0952380952380952,0.609108913813732,0.840128968253968,18,8
"Basal",-0.0887445887445887,-0.296969696969697,0.518325375789635,0.406950227375658,55,10
"Normal_and_All",0.120300751879699,-0.00883762223557735,0.299913926056111,0.85278825898104,76,443
