"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.00946780944787722,0.157070707070707,0.901517699637081,0.251344083455145,173,55
"LumB",0.185896199112483,0.127927927927928,0.117833644432342,0.455675422518138,72,36
"Her2",0.159958720330237,-0.0476190476190476,0.524718975929254,0.934871031746032,18,8
"Basal",-0.0375180375180375,-0.284848484848485,0.785165701593474,0.427359698875701,55,10
"Normal_and_All",0.00103896103896104,0.0571452273085522,0.992969372902936,0.229905341068364,76,443
