"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.161420936258581,0.116017316017316,0.0339612638800587,0.397885209523427,173,55
"LumB",0.0141166634510258,0.106821106821107,0.906176419895046,0.533806654953955,72,36
"Her2",-0.391124871001032,-0.0238095238095238,0.109466401615886,0.976785714285714,18,8
"Basal",-0.0810966810966811,0.127272727272727,0.555125702899457,0.732886836413125,55,10
"Normal_and_All",0.162816131237184,0.0554458066740632,0.159650968258976,0.244077278838613,76,443
