"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.018237990831174,-0.0480519480519481,0.811574230796959,0.726892745381511,173,55
"LumB",-0.0828670654061354,-0.27953667953668,0.488060876615021,0.0988247343994301,72,36
"Her2",-0.0815273477812178,0.0952380952380952,0.748150869850371,0.840128968253968,18,8
"Basal",-0.0576479076479076,0.0545454545454545,0.675112935202443,0.891638843953118,55,10
"Normal_and_All",0.0267669172932331,-0.0682349407618296,0.818124858904781,0.151579749082195,76,443
