"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0266419754230964,0.0661616161616162,0.727630565280093,0.630391694836395,173,55
"LumB",-0.264229210881729,-0.0195624195624196,0.0251856209756063,0.90995003869981,72,36
"Her2",-0.345717234262126,-0.214285714285714,0.160134994400328,0.619097222222222,18,8
"Basal",0.184559884559885,0.212121212121212,0.176911686353485,0.559908079271241,55,10
"Normal_and_All",0.0743677375256323,-0.0449899252183145,0.52237477523803,0.344658664647165,76,443
