"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0180827048500216,0.0838383838383838,0.813149079918674,0.541790630661434,173,55
"LumB",0.0971445109010226,-0.123037323037323,0.416056475235652,0.47320478197044,72,36
"Her2",0.0691434468524252,0.119047619047619,0.785935689084821,0.793005952380952,18,8
"Basal",-0.0458152958152958,0.587878787878788,0.73914966039939,0.0802150639781516,55,10
"Normal_and_All",0.113410799726589,0.00863306234438886,0.328597777984855,0.856158218016488,76,443
