"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.000906221173591186,-0.0364357864357864,0.990560909696639,0.791226161168068,173,55
"LumB",0.071065663386713,0.0398970398970399,0.552228253868572,0.816928139357247,72,36
"Her2",0.0753353973168215,0.30952380952381,0.766978715020632,0.461805555555556,18,8
"Basal",-0.129004329004329,-0.296969696969697,0.346891928761935,0.406950227375658,55,10
"Normal_and_All",-0.0384688995215311,0.0372072633392511,0.740954866020576,0.434548074682307,76,443
