"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0230541739481113,0.347835497835498,0.763136073817893,0.00958940167978992,173,55
"LumB",-0.0497138079619268,-0.0965250965250965,0.677712886927025,0.574155257872228,72,36
"Her2",-0.0381836945304438,0.142857142857143,0.882299602820874,0.75203373015873,18,8
"Basal",-0.00851370851370851,-0.636363636363636,0.950849850354357,0.0544450679375418,55,10
"Normal_and_All",-0.0940533151059467,0.010444286967989,0.41819515065082,0.8264176056114,76,443
