"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.142156203790832,0.0251082251082251,0.0621331311118047,0.855335726199606,173,55
"LumB",0.0692970609042382,-0.0723294723294723,0.562183956196938,0.674065529898561,72,36
"Her2",0.205366357069143,0.214285714285714,0.412031436481371,0.619097222222222,18,8
"Basal",-0.00447330447330447,0.139393939393939,0.974263026563548,0.707203785571239,55,10
"Normal_and_All",0.140587833219412,-0.0196532088711082,0.225254792926698,0.679840457522486,76,443
