"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0709193393624468,0.0792207792207792,0.353468512790445,0.564339211570973,173,55
"LumB",-0.048298925975947,0.00102960102960103,0.686401003353235,0.995816906899124,72,36
"Her2",-0.223942208462332,0.0714285714285714,0.370130594838583,0.881994047619048,18,8
"Basal",0.0964646464646465,-0.0181818181818182,0.482472614491071,0.972841176143636,55,10
"Normal_and_All",-0.00735475051264525,0.00371244455695392,0.94969293761217,0.937869613777095,76,443
