"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0148611001664109,-0.0663780663780664,0.84598158867529,0.629270951890617,173,55
"LumB",-0.046980513216284,-0.0321750321750322,0.69453363884424,0.852031038373284,72,36
"Her2",0.17234262125903,-0.523809523809524,0.492606881943374,0.196626984126984,18,8
"Basal",0.0382395382395382,0.624242424242424,0.781132441157949,0.0602489828244726,55,10
"Normal_and_All",0.244155844155844,0.00273491881512065,0.033790804829337,0.954208370533404,76,443
