"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0259327588524598,-0.137373737373737,0.734605923647656,0.316294457237316,173,55
"LumB",0.243809891311338,0.215701415701416,0.0392786841990892,0.205661665856423,72,36
"Her2",-0.0712074303405573,-0.142857142857143,0.779602966753493,0.75203373015873,18,8
"Basal",-0.0624098124098124,-0.187878787878788,0.649948403278767,0.607566897460635,55,10
"Normal_and_All",0.063485987696514,0.03924692697764,0.585123708310733,0.409772263885234,76,443
