"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0430443468949757,0.0263347763347763,0.573549744386469,0.848340706723385,173,55
"LumB",0.128786417132935,-0.307593307593308,0.280279277047707,0.0683996580829757,72,36
"Her2",0.00928792569659443,0.761904761904762,0.973759651081858,0.0367559523809524,18,8
"Basal",0.0531746031746032,-0.175757575757576,0.69908130886187,0.631967363906088,55,10
"Normal_and_All",0.0694736842105263,-0.0336178031703194,0.550170379526254,0.480180647830253,76,443
