"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0982960260695032,0.154978354978355,0.198021330964977,0.257775057041552,173,55
"LumB",-0.319731172422664,-0.213899613899614,0.00639446416472185,0.209544378938188,72,36
"Her2",0.0588235294117647,-0.523809523809524,0.817790211810117,0.196626984126984,18,8
"Basal",-0.187662337662338,-0.0545454545454545,0.169648243674679,0.891638843953117,55,10
"Normal_and_All",-0.107204374572796,-0.0375232131307022,0.355886102485956,0.430654697248825,76,443
