"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0245490912293551,0.00461760461760462,0.748277033209452,0.973426350027023,173,55
"LumB",-0.0740240529937617,-0.123552123552124,0.535767885517792,0.471342862924315,72,36
"Her2",0.0175438596491228,-0.285714285714286,0.947545762910323,0.500793650793651,18,8
"Basal",-0.00122655122655123,-0.0545454545454545,0.993093870261548,0.891638843953117,55,10
"Normal_and_All",0.0386056049213944,-0.0336057945937112,0.740066718651593,0.480337562096801,76,443
