"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.15422447399771,-0.0727272727272727,0.0428569122798461,0.596776103393504,173,55
"LumB",-0.0649881021287543,0.0584298584298584,0.586790439894372,0.734237326766691,72,36
"Her2",-0.0361197110423117,0.333333333333333,0.888797701172115,0.427876984126984,18,8
"Basal",-0.000216450216450216,-0.0787878787878788,0.998953604210679,0.83800409458326,55,10
"Normal_and_All",-0.0154203691045796,-0.0534634253263917,0.89465500369375,0.261368620910216,76,443
