"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.103367156319676,-0.0579365079365079,0.175774023934862,0.673577296683435,173,55
"LumB",-0.0665316097498232,-0.132303732303732,0.577919874219724,0.440295720613032,72,36
"Her2",0.0485036119711042,-0.166666666666667,0.849927794799856,0.703323412698413,18,8
"Basal",0.105050505050505,-0.260606060606061,0.444202966503933,0.469675250206491,55,10
"Normal_and_All",-0.113766233766234,-0.0143727478742749,0.32707656303028,0.762811916596482,76,443
