"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0866565305867029,-0.166883116883117,0.256660262647102,0.222650778157905,173,55
"LumB",-0.13708277059618,-0.230888030888031,0.250251925079484,0.174931451502781,72,36
"Her2",-0.0939112487100103,-0.404761904761905,0.710921782778592,0.326835317460317,18,8
"Basal",0.192929292929293,-0.0424242424242424,0.157822141297492,0.918633282432669,55,10
"Normal_and_All",0.297334244702666,-0.101148240771133,0.00932234642667897,0.0333437073946574,76,443
