"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",0.0590063551367212,0.0474747474747475,0.440239899536364,0.730049419401936,173,55
"LumB",-0.00755675606148305,-0.184298584298584,0.949743666600254,0.280757874332728,72,36
"Her2",0.00928792569659443,-0.595238095238095,0.973759651081858,0.132291666666667,18,8
"Basal",-0.0243867243867244,-0.0787878787878788,0.859455683455397,0.83800409458326,55,10
"Normal_and_All",-0.309227614490772,-0.0155940339182936,0.00676825968893573,0.74333773541217,76,443
