"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0210192322846508,-0.160750360750361,0.783501936837686,0.240301992069941,173,55
"LumB",-0.156698179947264,0.0267696267696268,0.188265964619118,0.876777152930338,72,36
"Her2",0.25077399380805,-0.166666666666667,0.314165901931827,0.703323412698413,18,8
"Basal",0.00995670995670996,0.345454545454545,0.942497027438098,0.330549465992496,55,10
"Normal_and_All",0.0219548872180451,-0.025488134836163,0.850416255900416,0.592490395787796,76,443
