"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0148495116603548,0.0862193362193362,0.846100208263882,0.530338568481337,173,55
"LumB",0.0518682873496688,-0.24967824967825,0.664564195076224,0.141675271999615,72,36
"Her2",0.0464396284829721,0.166666666666667,0.856385000045811,0.703323412698413,18,8
"Basal",0.103463203463203,-0.0666666666666667,0.451147487569341,0.864753528804526,55,10
"Normal_and_All",-0.0491045796308954,-0.00776140531817069,0.672955666958819,0.870546676929146,76,443
