"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.11248962828708,0.0948051948051948,0.140502500427679,0.490066224466722,173,55
"LumB",0.111936458936266,0.105276705276705,0.348404780078025,0.53976950056614,72,36
"Her2",-0.13312693498452,0.833333333333333,0.597538336684554,0.0153769841269841,18,8
"Basal",-0.133116883116883,0.0303030303030303,0.331633602700371,0.94570980835199,55,10
"Normal_and_All",0.118386876281613,0.0129014901953423,0.307711472093453,0.786471391653891,76,443
