"","low_cor","high_cor","low_p","high_p","low_n","high_n"
"LumA",-0.0613031970370508,-0.038961038961039,0.422626490897703,0.777104935278058,173,55
"LumB",0.0259823782879928,0.00386100386100386,0.82815832704312,0.982671284007675,72,36
"Her2",-0.292053663570691,-0.0238095238095238,0.23882115173451,0.976785714285714,18,8
"Basal",0.0703463203463204,-0.187878787878788,0.608874146955889,0.607566897460635,55,10
"Normal_and_All",0.0750786056049214,-0.0321956840347492,0.518397366992931,0.498955664102903,76,443
